property_url,property_code,property_type,price_eur,cadastral_income_eur,postal_code,locality_name,state_of_the_property,currently_leased,build_year,bedrooms,bathrooms,toilets,livable_surface_m2,total_land_surface_m2,terrace_m2,garden_m2,heating_type,epc_kwh_m2_year,swimming_pool
https://immovlan.be/en/detail/apartment/for-sale/8370/blankenberge/rwc41649,RWC41649,apartment,348800,,8370,Blankenberge,Excellent,,2025,3,1,,115,,,,Not specified,15,
https://immovlan.be/en/detail/residence/for-sale/8370/blankenberge/rwc41648,RWC41648,house,348800,,8370,Blankenberge,Excellent,,2025,3,1,,115,,,,Not specified,15,
https://immovlan.be/en/detail/residence/for-sale/8940/wervik/rwc41641,RWC41641,house,163000,379,8940,Wervik,Normal,No,,3,1,,115,397,,,Gas,435,No
https://immovlan.be/en/detail/apartment/for-sale/8301/duinbergen/rbv06746,RBV06746,apartment,615000,,8301,Duinbergen,,No,1985,2,2,2,92,,,,,,
https://immovlan.be/en/detail/residence/for-sale/8680/koekelare/rbv04907,RBV04907,house,685000,,8680,Koekelare,,No,1980,3,2,3,298,5680,,,,233,
https://immovlan.be/en/detail/apartment/for-sale/8300/knokke-heist/rbv04674,RBV04674,apartment,850000,1470,8300,Knokke-Heist,Excellent,No,,2,1,1,106,,,,,97,
https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/raq40166,RAQ40166,apartment,316000,,8400,Oostende,New,No,,2,,,,,,,,0,
https://immovlan.be/en/detail/residence/for-sale/8680/koekelare/rbv01998,RBV01998,house,399000,,8680,Koekelare,,No,2026,3,1,2,160,550,34,,Electricity,,
https://immovlan.be/en/detail/apartment/for-sale/8840/staden/rbu74362,RBU74362,apartment,269500,,8840,Staden,New,No,2024,2,1,1,92,,,,Electricity,,
https://immovlan.be/en/detail/apartment/for-sale/6180/courcelles/vbd77790,VBD77790,apartment,85000,877,6180,Courcelles,Normal,No,1979,2,1,1,108,,4,,Gas,230,No
https://immovlan.be/en/detail/residence/for-sale/6183/trazegnies/vbd77778,VBD77778,house,375000,942,6183,Trazegnies,Excellent,,1887,8,1,3,393,664,,,Gas,194,Yes
https://immovlan.be/en/detail/bungalow/for-sale/7730/estaimpuis/vbd77559,VBD77559,bungalow,545000,,7730,Estaimpuis,,No,2010,4,2,2,284,1251,,,Not specified,,
https://immovlan.be/en/detail/residence/for-sale/6567/merbes-le-chateau/vbd77280,VBD77280,house,149000,,6567,Merbes-le-Château,Excellent,No,,2,1,,,,,,Gas,584,
https://immovlan.be/en/detail/residence/for-sale/6240/farciennes/vbd77152,VBD77152,house,140000,376,6240,Farciennes,To renovate,,1900,2,1,1,151,728,45,616,Gas,550,No
https://immovlan.be/en/detail/residence/for-sale/6061/montignies-sur-sambre/vbd77085,VBD77085,house,210000,386,6061,Montignies-sur-Sambre,Normal,No,1850,3,,1,160,300,35,122,Fuel oil,416,
https://immovlan.be/en/detail/apartment/for-sale/7130/bray/vbd76785,VBD76785,apartment,230000,710,7130,Bray,Excellent,No,2008,3,1,1,128,,,,Gas,170,No
https://immovlan.be/en/detail/residence/for-sale/7100/la-louviere/vbd76645,VBD76645,house,139000,446,7100,La Louvière,To be renovated,,,2,1,1,146,343,24,,,474,
https://immovlan.be/en/detail/residence/for-sale/7620/hollain/vbd76623,VBD76623,house,250000,643,7620,Hollain,To be renovated,No,1969,5,1,1,174,483,,,Fuel oil,296,
https://immovlan.be/en/detail/residence/for-sale/6200/chatelet/vbd76499,VBD76499,house,149000,297,6200,Châtelet,Normal,,,2,1,1,,180,20,70,Gas,201,
https://immovlan.be/en/detail/residence/for-sale/7540/kain/vbd76419,VBD76419,house,445000,1075,7540,Kain,Excellent,No,1977,4,2,2,240,1159,,,,224,
https://immovlan.be/en/detail/residence/for-sale/6224/wanfercee-baulet/vbd76338,VBD76338,house,330000,,6224,Wanfercée-Baulet,Normal,,1977,4,1,2,152,1680,,1600,Fuel oil,411,No
https://immovlan.be/en/detail/residence/for-sale/6041/gosselies/vbd76156,VBD76156,house,119000,509,6041,Gosselies,,No,,4,2,2,202,196,,,Gas,390,No
https://immovlan.be/en/detail/residence/for-sale/6001/marcinelle/vbd75870,VBD75870,house,230000,461,6001,Marcinelle,Excellent,,,3,1,,120,335,10,250,,481,
https://immovlan.be/en/detail/residence/for-sale/6240/pironchamps/vbd75811,VBD75811,house,125000,358,6240,Pironchamps,Normal,No,,4,,,140,,,,Gas,305,
https://immovlan.be/en/detail/residence/for-sale/7033/cuesmes/vbd75790,VBD75790,house,179000,701,7033,Cuesmes,Normal,,,3,1,1,85,312,12,216,Gas,366,
https://immovlan.be/en/detail/residence/for-sale/6141/forchies-la-marche/vbd75530,VBD75530,house,225000,,6141,Forchies-la-Marche,Normal,,,3,1,1,117,270,,210,Gas,331,
https://immovlan.be/en/detail/residence/for-sale/6061/montignies-sur-sambre/vwd16319,VWD16319,house,79000,,6061,Montignies-sur-Sambre,To be renovated,,,2,,,110,,,,Not specified,601,
https://immovlan.be/en/detail/residence/for-sale/6043/ransart/vbd75280,VBD75280,house,235000,382,6043,Ransart,Fully renovated,,,2,1,,126,451,20,343,,304,Yes
https://immovlan.be/en/detail/villa/for-sale/7618/taintignies/vbd75157,VBD75157,house,350000,949,7618,Taintignies,Normal,,2001,5,1,3,189,2000,55,1824,Fuel oil,241,Yes
https://immovlan.be/en/detail/apartment/for-sale/6001/marcinelle/vbd75063,VBD75063,apartment,135000,1130,6001,Marcinelle,Excellent,No,1964,2,1,2,154,,,,Gas,256,No
https://immovlan.be/en/detail/residence/for-sale/7170/la-hestre/vbd75026,VBD75026,house,170000,,7170,La Hestre,To be renovated,,1899,4,1,1,153,170,13,86,Gas,395,
https://immovlan.be/en/detail/residence/for-sale/7340/paturages/vbd74649,VBD74649,house,250000,,7340,Pâturages,,No,,6,,,400,225,,,Not specified,138,
https://immovlan.be/en/detail/apartment/for-sale/6200/chatelet/vbd74641,VBD74641,apartment,195000,1070,6200,Châtelet,,No,,2,,1,104,,,,Not specified,163,
https://immovlan.be/en/detail/cottage/for-sale/7910/anvaing/rbv05505,RBV05505,cottage,,,7910,Anvaing,Excellent,,,7,4,6,1500,20000,,150000,Fuel oil,167,Yes
https://immovlan.be/en/detail/residence/for-sale/7860/lessines/vbd74313,VBD74313,house,280000,851,7860,Lessines,Normal,,2018,4,1,2,137,529,,474,Gas,128,
https://immovlan.be/en/detail/villa/for-sale/6224/wanfercee-baulet/vbd74308,VBD74308,house,269000,1070,6224,Wanfercée-Baulet,Normal,,1975,3,1,1,130,762,,580,Fuel oil,315,
https://immovlan.be/en/detail/apartment/for-sale/7500/tournai/vbd74282,VBD74282,apartment,120000,882,7500,Tournai,Normal,No,,2,1,1,104,,1,,Gas,218,No
https://immovlan.be/en/detail/residence/for-sale/6200/bouffioulx/vbd74263,VBD74263,house,129000,,6200,Bouffioulx,To renovate,,,2,1,,135,840,,,Gas,564,
https://immovlan.be/en/detail/residence/for-sale/6182/souvret/vbd73994,VBD73994,house,168000,333,6182,Souvret,,No,,4,,1,225,200,20,18,,231,
https://immovlan.be/en/detail/residence/for-sale/6030/marchienne-au-pont/vbd73805,VBD73805,house,79000,267,6030,Marchienne-au-Pont,To be renovated,No,1875,2,,1,230,79,,,Not specified,582,
https://immovlan.be/en/detail/villa/for-sale/1150/sint-pieters-woluwe/rbv09042,RBV09042,house,1495000,,1150,Sint-Pieters-Woluwe,Excellent,No,1968,5,4,5,340,1000,,,Fuel oil,257,Yes
https://immovlan.be/en/detail/villa/for-sale/1180/ukkel/rbv09041,RBV09041,house,1295000,,1180,Ukkel,To be renovated,No,1970,4,,3,330,1200,,,Gas,798,
https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/rbv09039,RBV09039,apartment,900000,,1180,Ukkel,Excellent,Yes,1992,3,,3,230,,40,,Gas,146,
https://immovlan.be/en/detail/residence/for-sale/1000/brussels/rbv09036,RBV09036,house,1950000,,1000,Brussels,To be renovated,No,,6,,,558,267,,,Gas,250,
https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/rbv09034,RBV09034,apartment,890000,,1180,Ukkel,Normal,No,1952,4,,,,,6,,Gas,184,
https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/rbv09032,RBV09032,apartment,349000,,1180,Ukkel,To be renovated,No,1981,2,2,2,107,,21,,Gas,399,
https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/rbv09031,RBV09031,apartment,350000,,1180,Ukkel,Excellent,No,,3,,,98,,9,,Gas,209,
https://immovlan.be/en/detail/villa/for-sale/1180/ukkel/rbv09030,RBV09030,house,1450000,,1180,Ukkel,Excellent,No,,5,,,,802,,,Gas,207,
https://immovlan.be/en/detail/apartment/for-sale/1140/evere/vbd76988,VBD76988,apartment,250000,,1140,Evere,Normal,No,,2,1,1,72,,7,,Gas,354,No
https://immovlan.be/en/detail/residence/for-sale/1030/schaarbeek/vbd76862,VBD76862,house,365000,875,1030,Schaarbeek,To be renovated,No,1911,4,1,2,230,140,,50,Gas,550,No
https://immovlan.be/en/detail/duplex/for-sale/1030/schaarbeek/vbd76861,VBD76861,duplex,289000,597,1030,Schaarbeek,To renovate,No,1900,2,1,1,112,,19,,Gas,469,No
https://immovlan.be/en/detail/mixed-building/for-sale/1080/sint-jans-molenbeek/vbd76455,VBD76455,mixed-building,595000,1841,1080,Sint-Jans-Molenbeek,Excellent,Yes,1960,2,2,2,240,,20,135,Gas,160,
https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd75845,VBD75845,apartment,209000,,1030,Schaarbeek,,No,1930,1,1,1,70,,5,,Gas,,
https://immovlan.be/en/detail/apartment/for-sale/1170/watermaal-bosvoorde/vbd75770,VBD75770,apartment,300000,1363,1170,Watermaal-Bosvoorde,To be renovated,No,1958,3,1,1,107,,18,,Gas,308,
https://immovlan.be/en/detail/apartment/for-sale/1160/oudergem/vbd75500,VBD75500,apartment,350000,1782,1160,Oudergem,Normal,Yes,1962,2,1,1,108,,50,,Gas,151,
https://immovlan.be/en/detail/mixed-building/for-sale/1160/oudergem/vbd75303,VBD75303,mixed-building,399000,1524,1160,Oudergem,Normal,No,1915,3,1,,192,95,,,Not specified,686,No
https://immovlan.be/en/detail/apartment/for-sale/1180/ukkel/vbd75126,VBD75126,apartment,325000,1600,1180,Ukkel,Normal,,,1,1,1,73,,,,Gas,202,
https://immovlan.be/en/detail/apartment/for-sale/1082/berchem-sainte-agathe/vbd74564,VBD74564,apartment,159000,,1082,Berchem-Sainte-Agathe,To renovate,No,1976,1,1,1,61,,7,,Gas,266,
https://immovlan.be/en/detail/apartment/for-sale/1082/berchem-sainte-agathe/vbd74563,VBD74563,apartment,290000,,1082,Berchem-Sainte-Agathe,Normal,,,2,1,1,90,,61,,Gas,283,No
https://immovlan.be/en/detail/residence/for-sale/1190/vorst/vbd74543,VBD74543,house,379000,361,1190,Vorst,Normal,,,4,2,3,145,250,,,Gas,497,
https://immovlan.be/en/detail/residence/for-sale/1210/sint-joost-ten-node/vbd73963,VBD73963,house,399000,,1210,Sint-Joost-ten-Node,To renovate,Yes,1906,4,2,2,151,52,,,Gas,372,No
https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd73653,VBD73653,apartment,265000,,1030,Schaarbeek,To be renovated,No,1938,2,1,1,81,,,,Gas,409,
https://immovlan.be/en/detail/apartment/for-sale/1030/schaarbeek/vbd73644,VBD73644,apartment,215000,,1030,Schaarbeek,Normal,,1932,2,1,1,83,,,,Gas,245,No
https://immovlan.be/en/detail/studio/for-sale/4000/liege/vbd77137,VBD77137,studio,82000,,4000,Liege,Normal,No,,,,1,44,,,,Gas,155,
https://immovlan.be/en/detail/studio/for-sale/4000/liege/vbd77136,VBD77136,studio,82000,,4000,Liege,Normal,No,,,,1,44,,,,Gas,155,
https://immovlan.be/en/detail/apartment/for-sale/4000/liege/vbd77135,VBD77135,apartment,89000,,4000,Liege,,No,,1,,1,43,,,,Gas,207,
https://immovlan.be/en/detail/apartment/for-sale/4000/liege/vbd77134,VBD77134,apartment,89000,,4000,Liege,,No,,1,,1,43,,,,Gas,207,
https://immovlan.be/en/detail/apartment/for-sale/4020/liege/vbd77133,VBD77133,apartment,89000,,4020,Liege,,No,,1,,1,43,,,,Gas,207,
https://immovlan.be/en/detail/studio/for-sale/4020/liege/vbd77132,VBD77132,studio,82000,,4020,Liege,Normal,No,,1,,1,44,,,,Gas,155,
https://immovlan.be/en/detail/residence/for-sale/4030/grivegnee/vbd76661,VBD76661,house,200000,,4030,Grivegnée,Normal,,1930,3,1,1,,,,,,148,No
https://immovlan.be/en/detail/mixed-building/for-sale/4101/jemeppe/vbd76317,VBD76317,mixed-building,165000,,4101,Jemeppe,Normal,,1930,3,4,3,220,374,,,,309,No
https://immovlan.be/en/detail/residence/for-sale/4420/saint-nicolas/vbd76163,VBD76163,house,349000,,4420,Saint-Nicolas,New,,,4,2,3,138,60,10,,Gas,136,No
https://immovlan.be/en/detail/apartment/for-sale/4000/rocourt/vwd16324,VWD16324,apartment,284000,,4000,Rocourt,,No,2025,2,,,94,,10,,Gas,,
https://immovlan.be/en/detail/residence/for-sale/4420/saint-nicolas/vbd73695,VBD73695,house,215000,699,4420,Saint-Nicolas,,No,1964,2,,2,141,201,10,10,Fuel oil,281,
https://immovlan.be/en/detail/residence/for-sale/4900/spa/vbd72760,VBD72760,house,270000,518,4900,Spa,Normal,No,,2,1,2,95,627,70,170,Gas,241,No
https://immovlan.be/en/detail/residence/for-sale/4960/malmedy/vbd71627,VBD71627,house,585000,,4960,Malmedy,Normal,Yes,1980,4,2,3,146,2169,30,1865,Fuel oil,128,No
https://immovlan.be/en/detail/penthouse/for-sale/4670/blegny/vbd68425,VBD68425,penthouse,479000,1234,4670,Blégny,Normal,,2020,3,1,1,150,,75,,Gas,108,No
https://immovlan.be/en/detail/residence/for-sale/4420/tilleur/vbd78138,VBD78138,house,90000,,4420,Tilleur,,No,,1,1,1,50,34,,,Gas,461,
https://immovlan.be/en/detail/residence/for-sale/4420/tilleur/vbd78137,VBD78137,house,90000,,4420,Tilleur,,No,,1,1,1,50,34,,,Gas,565,
https://immovlan.be/en/detail/residence/for-sale/4690/bassenge/vbd78114,VBD78114,house,210000,,4690,Bassenge,,No,,3,1,,126,453,57,,Gas,480,
https://immovlan.be/en/detail/residence/for-sale/4250/geer/vbd78113,VBD78113,house,279000,,4250,Geer,,No,,5,,,278,894,37,,Fuel oil,1041,
https://immovlan.be/en/detail/residence/for-sale/4610/bellaire/vbd78112,VBD78112,house,285000,,4610,Bellaire,,No,,2,,,188,643,,,Gas,439,
https://immovlan.be/en/detail/residence/for-sale/4670/trembleur/vbd78110,VBD78110,house,2950000,,4670,Trembleur,,No,,29,10,,1848,5000,,,Gas,311,
https://immovlan.be/en/detail/residence/for-sale/3900/pelt/rbu61967,RBU61967,house,304000,,3900,Pelt,New,No,,3,1,,,138,,,,,
https://immovlan.be/en/detail/residence/for-sale/3900/pelt/rbu61965,RBU61965,house,304000,,3900,Pelt,New,No,,3,1,,,138,,,,,
https://immovlan.be/en/detail/residence/for-sale/3550/heusden/rbv09953,RBV09953,house,579000,,3550,Heusden,,No,2013,3,1,2,223,450,,,Not specified,228,
https://immovlan.be/en/detail/residence/for-sale/3550/heusden-zolder/rbv09952,RBV09952,house,395000,,3550,Heusden-Zolder,Normal,No,2003,3,1,2,138,495,,,Gas,241,
https://immovlan.be/en/detail/residence/for-sale/3582/koersel/rbv09910,RBV09910,house,420000,,3582,Koersel,,No,1952,,,,316,508,,,Gas,269,
https://immovlan.be/en/detail/residence/for-sale/3583/paal/rbv09909,RBV09909,house,499000,,3583,Paal,,No,1999,3,1,2,184,1043,30,,Fuel oil,274,
https://immovlan.be/en/detail/residence/for-sale/3803/duras/rbv09908,RBV09908,house,390000,,3803,Duras,,No,2026,4,1,2,152,187,15,,Not specified,0,
https://immovlan.be/en/detail/residence/for-sale/3660/opglabbeek/rbv09734,RBV09734,house,269000,,3660,Opglabbeek,,No,1974,3,2,2,161,736,,,Fuel oil,787,
https://immovlan.be/en/detail/residence/for-sale/3690/zutendaal/rbv09632,RBV09632,house,208000,,3690,Zutendaal,,,,2,2,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/3690/zutendaal/rbv09631,RBV09631,house,259000,,3690,Zutendaal,,,,3,1,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/3690/zutendaal/rbv09630,RBV09630,house,259000,,3690,Zutendaal,,,,3,1,,,,,,,,
https://immovlan.be/en/detail/residence/for-sale/3690/zutendaal/rbv09572,RBV09572,house,289500,,3690,Zutendaal,,,,3,1,,,,,,,,
